"","Index","Angle","Antenna","Background","Code","GPSdate","GPStime","Strength","TowerID","TagID","AnimalID","uniqueID","longitude","latitude","X","Y","BadPoint","Var_X","Var_Y","Cov_XY","AngleDiff","Date","Time"
"39",10,282,1,0,"0.25,0.15,0.22","18_05_23","15:48:19",31,"TowerW04",471,"RF051903","RF051903-18_05_23-15",1277367.73806454,568612.134358281,1277367.73806454,568612.134358281,NA,NA,NA,NA,NA,NA,NA
"40",2,295,1,0,"0.25,0.14,0.12","18_05_23","5:10:42",31,"TowerR07",472,"RF051920","RF051920-18_05_23-5",1286418.28707702,540797.821236682,1286418.28707702,540797.821236682,NA,NA,NA,NA,NA,NA,NA
"41",0,195,1,0,"0.25,0.15,0.12","19_05_23","15:43:40",32,"TowerR01",472,"RF051920","RF051920-19_05_23-15",1286438.22633407,541122.649294353,1286438.22633407,541122.649294353,NA,NA,NA,NA,NA,NA,NA
"42",1,246,2,0,"0.25,0.14,0.13","19_05_23","23:02:28",31,"TowerW13",472,"RF051920","RF051920-19_05_23-23",1278116.69408485,568325.500681687,1278116.69408485,568325.500681687,NA,NA,NA,NA,NA,NA,NA
"43",5,75,2,0,"0.24,0.16,0.13","30_05_23","20:39:16",32,"TowerR13",472,"RF051920","RF051920-30_05_23-20",1286798.30418877,540655.374968405,1286798.30418877,540655.374968405,NA,NA,NA,NA,NA,NA,NA
"44",9,75,2,0,"0.25,0.17,0.09","18_05_23","3:46:19",31,"TowerR13",474,"WN051802","WN051802-18_05_23-3",1286798.30418877,540655.374968405,1286798.30418877,540655.374968405,NA,NA,NA,NA,NA,NA,NA
"45",1,224,2,43,"0.25,0.18,0.11","20_05_23","7:26:17",80,"TowerW02",474,"WN051802","WN051802-20_05_23-7",1277341.09179271,569073.50003613,1277341.09179271,569073.50003613,NA,NA,NA,NA,NA,NA,NA
"46",7,75,2,0,"0.26,0.17,0.11","18_05_23","1:36:26",32,"TowerR13",474,"WN051802","WN051802-18_05_23-1",1286798.30418877,540655.374968405,1286798.30418877,540655.374968405,NA,NA,NA,NA,NA,NA,NA
"47",0,246,2,0,"0.25,0.2,0.16","31_05_23","14:40:36",31,"TowerW13",476,"WF051806","WF051806-31_05_23-14",1278116.69408485,568325.500681687,1278116.69408485,568325.500681687,NA,NA,NA,NA,NA,NA,NA
"48",0,246,2,0,"0.25,0.2,0.16","31_05_23","19:06:10",31,"TowerW13",476,"WF051806","WF051806-31_05_23-19",1278116.69408485,568325.500681687,1278116.69408485,568325.500681687,NA,NA,NA,NA,NA,NA,NA
"49",0,246,2,0,"0.25,0.2,0.16","01_06_23","0:29:01",31,"TowerW13",476,"WF051806","WF051806-01_06_23-0",1278116.69408485,568325.500681687,1278116.69408485,568325.500681687,NA,NA,NA,NA,NA,NA,NA
"50",0,246,2,0,"0.25,0.2,0.16","01_06_23","9:19:18",32,"TowerW13",476,"WF051806","WF051806-01_06_23-9",1278116.69408485,568325.500681687,1278116.69408485,568325.500681687,NA,NA,NA,NA,NA,NA,NA
